Issue Type,Severity,Description,Recommendation,Affected URL
"Canonical Mismatch","Medium","Canonical URL (https://mediwaste.co.uk/) does not match page URL (https://mediwaste.co.uk/news/clinical-waste-collection-for-nursing-homes/)","Ensure the canonical tag points to the correct URL for this page.","https://mediwaste.co.uk/news/clinical-waste-collection-for-nursing-homes/"
"Canonical Mismatch","Medium","Canonical URL (https://mediwaste.co.uk/) does not match page URL (https://mediwaste.co.uk/news/sustainable-dental-waste-management-reducing-orange-bag-usage/)","Ensure the canonical tag points to the correct URL for this page.","https://mediwaste.co.uk/news/sustainable-dental-waste-management-reducing-orange-bag-usage/"
"Canonical Mismatch","Medium","Canonical URL (https://mediwaste.co.uk/) does not match page URL (https://mediwaste.co.uk/news/dental-waste-storage-on-site-cqc-requirements/)","Ensure the canonical tag points to the correct URL for this page.","https://mediwaste.co.uk/news/dental-waste-storage-on-site-cqc-requirements/"
"Duplicate Title","Medium","Title tag ""clinical waste collection london &amp; se | mediwa..."" is used on 4 pages","Make each page's title tag unique to avoid keyword cannibalization.","https://mediwaste.co.uk/"
"Duplicate Title","Medium","Title tag ""clinical waste collection london &amp; se | mediwa..."" is used on 4 pages","Make each page's title tag unique to avoid keyword cannibalization.","https://mediwaste.co.uk/news/clinical-waste-collection-for-nursing-homes/"
"Duplicate Title","Medium","Title tag ""clinical waste collection london &amp; se | mediwa..."" is used on 4 pages","Make each page's title tag unique to avoid keyword cannibalization.","https://mediwaste.co.uk/news/sustainable-dental-waste-management-reducing-orange-bag-usage/"
"Duplicate Title","Medium","Title tag ""clinical waste collection london &amp; se | mediwa..."" is used on 4 pages","Make each page's title tag unique to avoid keyword cannibalization.","https://mediwaste.co.uk/news/dental-waste-storage-on-site-cqc-requirements/"
"Duplicate Meta Description","Medium","Meta description is duplicated on 4 pages","Write a unique meta description for each page.","https://mediwaste.co.uk/"
"Duplicate Meta Description","Medium","Meta description is duplicated on 4 pages","Write a unique meta description for each page.","https://mediwaste.co.uk/news/clinical-waste-collection-for-nursing-homes/"
"Duplicate Meta Description","Medium","Meta description is duplicated on 4 pages","Write a unique meta description for each page.","https://mediwaste.co.uk/news/sustainable-dental-waste-management-reducing-orange-bag-usage/"
"Duplicate Meta Description","Medium","Meta description is duplicated on 4 pages","Write a unique meta description for each page.","https://mediwaste.co.uk/news/dental-waste-storage-on-site-cqc-requirements/"
"Duplicate Content","High","Duplicate content detected on 4 pages (content hash: 1b13928a)","Consolidate duplicate pages or use canonical tags to indicate the preferred version.","https://mediwaste.co.uk/"
"Duplicate Content","High","Duplicate content detected on 4 pages (content hash: 1b13928a)","Consolidate duplicate pages or use canonical tags to indicate the preferred version.","https://mediwaste.co.uk/news/clinical-waste-collection-for-nursing-homes/"
"Duplicate Content","High","Duplicate content detected on 4 pages (content hash: 1b13928a)","Consolidate duplicate pages or use canonical tags to indicate the preferred version.","https://mediwaste.co.uk/news/sustainable-dental-waste-management-reducing-orange-bag-usage/"
"Duplicate Content","High","Duplicate content detected on 4 pages (content hash: 1b13928a)","Consolidate duplicate pages or use canonical tags to indicate the preferred version.","https://mediwaste.co.uk/news/dental-waste-storage-on-site-cqc-requirements/"
