Issue Type,Severity,Description,Recommendation,Affected URL
"Thin Content","Medium","Low content word count: 416 words (recommended: 500+)","Add more substantive content (minimum 500 words recommended for AI readability).","https://mediwaste.co.uk/contact/"
"Thin Content","Medium","Low content word count: 330 words (recommended: 500+)","Add more substantive content (minimum 500 words recommended for AI readability).","https://mediwaste.co.uk/cookies/"
"Thin Content","Medium","Low content word count: 380 words (recommended: 500+)","Add more substantive content (minimum 500 words recommended for AI readability).","https://mediwaste.co.uk/news/category/industry-news/"
"Thin Content","Medium","Low content word count: 376 words (recommended: 500+)","Add more substantive content (minimum 500 words recommended for AI readability).","https://mediwaste.co.uk/news/category/environmental/"
"Thin Content","Medium","Low content word count: 405 words (recommended: 500+)","Add more substantive content (minimum 500 words recommended for AI readability).","https://mediwaste.co.uk/news/category/company-updates/"
"Title Too Long","Low","Title tag is 62 characters (recommended: 50-60)","Shorten the title to 50-60 characters for optimal display in search results.","https://mediwaste.co.uk/c/clinical-waste-removal-wickham/"
"Title Too Long","Low","Title tag is 62 characters (recommended: 50-60)","Shorten the title to 50-60 characters for optimal display in search results.","https://mediwaste.co.uk/c/clinical-waste-disposal-cost-london/"
"Meta Description Too Long","Low","Meta description is 163 characters (recommended: 150-160)","Shorten the meta description to 150-160 characters.","https://mediwaste.co.uk/c/clinical-waste-management-quote-dartford/"
"Title Too Long","Low","Title tag is 61 characters (recommended: 50-60)","Shorten the title to 50-60 characters for optimal display in search results.","https://mediwaste.co.uk/news/beauty-aesthetic-clinics-clinical-waste-management-guide/"
"Meta Description Too Long","Low","Meta description is 161 characters (recommended: 150-160)","Shorten the meta description to 150-160 characters.","https://mediwaste.co.uk/c/clinical-waste-collection-surrey/"
"Title Too Long","Low","Title tag is 62 characters (recommended: 50-60)","Shorten the title to 50-60 characters for optimal display in search results.","https://mediwaste.co.uk/c/clinical-waste-disposal-london/"
"Noindex Directive","High","Page has noindex directive: ""noindex,nofollow""","Remove the noindex directive if this page should appear in search results.","https://mediwaste.co.uk/cookies/"
"Broken Internal Link","High","Broken internal link to https://mediwaste.co.uk/waste-services/ (HTTP 403) [in navigation]","Fix or remove the broken link.","https://mediwaste.co.uk/news/beauty-aesthetic-clinics-clinical-waste-management-guide/"
"Broken Internal Link","High","Broken internal link to https://mediwaste.co.uk/ (HTTP 403) [in navigation]","Fix or remove the broken link.","https://mediwaste.co.uk/news/beauty-aesthetic-clinics-clinical-waste-management-guide/"
"Broken Internal Link","High","Broken internal link to https://mediwaste.co.uk/about/ (HTTP 403) [in navigation]","Fix or remove the broken link.","https://mediwaste.co.uk/news/beauty-aesthetic-clinics-clinical-waste-management-guide/"
